,Date,District,Community Area,Time Period,Average Traffic condition_x,SEGMENTID,WEATHER,PER CAPITA INCOME,Day,Crime Rate,dayOfWeek,SPEED,PER CAPITA INCOME 
100,2014-05-07 20:50:00,10,29,evening,free flow,532,Cloudy,Low,2014-05-07,0.02216427640156454,weekday,23.29134939458245,12034
101,2014-06-02 12:14:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-06-02,0.023094688221709007,weekday,23.29134939458245,12034
102,2014-06-08 19:00:00,10,29,afternoon,free flow,532,Sunny,Low,2014-06-08,0.020671834625323,weekend,23.29134939458245,12034
103,2014-06-08 20:04:00,10,29,evening,free flow,532,Sunny,Low,2014-06-08,0.014211886304909561,weekend,23.29134939458245,12034
104,2014-06-16 20:58:00,10,29,evening,free flow,532,Sunny,Low,2014-06-16,0.017241379310344827,weekday,23.29134939458245,12034
105,2014-06-17 17:25:00,10,29,afternoon,free flow,532,Sunny,Low,2014-06-17,0.01925254813137033,weekday,23.29134939458245,12034
106,2014-10-25 16:40:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-10-25,0.01373283395755306,weekend,23.29134939458245,12034
107,2014-11-03 14:19:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-11-03,0.01953125,weekday,23.29134939458245,12034
108,2014-11-06 15:10:00,10,29,afternoon,free flow,532,Sunny,Low,2014-11-06,0.01355421686746988,weekday,23.29134939458245,12034
109,2014-11-20 23:00:00,10,29,evening,free flow,532,Sunny,Low,2014-11-20,0.017543859649122806,weekday,23.29134939458245,12034
110,2014-11-23 14:40:00,10,29,afternoon,free flow,532,Sunny,Low,2014-11-23,0.020497803806734993,weekend,23.29134939458245,12034
111,2014-12-01 00:33:00,10,29,evening,free flow,532,Sunny,Low,2014-12-01,0.014248704663212436,weekday,23.29134939458245,12034
112,2014-06-01 00:13:00,10,29,evening,free flow,532,Cloudy,Low,2014-06-01,0.019114688128772636,weekend,23.29134939458245,12034
113,2014-06-10 01:30:00,10,29,evening,free flow,532,Sunny,Low,2014-06-10,0.022388059701492536,weekday,23.29134939458245,12034
114,2014-06-29 21:30:00,10,29,evening,free flow,532,Cloudy,Low,2014-06-29,0.023204419889502764,weekend,23.29134939458245,12034
115,2014-07-06 20:50:00,10,29,evening,free flow,532,Sunny,Low,2014-07-06,0.029850746268656716,weekend,23.29134939458245,12034
116,2014-08-02 15:03:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-08-02,0.012373453318335208,weekend,23.29134939458245,12034
117,2014-08-16 01:45:00,10,29,evening,free flow,532,Sunny,Low,2014-08-16,0.02702702702702703,weekend,23.29134939458245,12034
118,2014-08-21 19:15:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-08-21,0.020752269779507133,weekday,23.29134939458245,12034
119,2014-08-25 11:30:00,10,29,morning,free flow,532,Cloudy,Low,2014-08-25,0.01806451612903226,weekday,23.29134939458245,12034
120,2014-08-29 15:58:00,10,29,afternoon,free flow,532,Cloudy,Low,2014-08-29,0.01818181818181818,weekday,23.29134939458245,12034
121,2014-09-14 18:00:00,10,29,afternoon,free flow,532,Sunny,Low,2014-09-14,0.022486772486772486,weekend,23.29134939458245,12034
122,2014-10-08 18:41:00,10,29,afternoon,free flow,532,Sunny,Low,2014-10-08,0.018867924528301886,weekday,23.29134939458245,12034
123,2014-10-12 18:17:00,10,29,afternoon,free flow,532,Sunny,Low,2014-10-12,0.026124818577648767,weekend,23.29134939458245,12034
124,2014-10-31 00:45:00,10,29,evening,free flow,532,Snow,Low,2014-10-31,0.012150668286755772,weekday,23.29134939458245,12034
125,2014-11-05 13:00:00,10,29,afternoon,free flow,532,Sunny,Low,2014-11-05,0.018970189701897018,weekday,23.29134939458245,12034
126,2014-12-14 01:28:00,10,29,evening,free flow,532,Sunny,Low,2014-12-14,0.021156558533145273,weekend,23.29134939458245,12034
127,2014-12-19 22:00:00,10,29,evening,free flow,532,Snow,Low,2014-12-19,0.01837270341207349,weekday,23.29134939458245,12034
128,2014-12-27 11:54:00,10,29,morning,free flow,532,Sunny,Low,2014-12-27,0.015406162464985995,weekend,23.29134939458245,12034
129,2013-05-07 17:00:00,10,29.0,afternoon,free flow,220,Sunny,Low,2013-05-07,0.026490066225165563,weekday,21.564436983471076,12034
130,2013-07-12 14:00:00,10,29.0,afternoon,free flow,217,Cloudy,Low,2013-07-12,0.014846235418875928,weekday,22.7296903942842,12034
131,2014-10-24 16:45:00,10,29,afternoon,free flow,217,Sunny,Low,2014-10-24,0.028506271379703536,weekday,22.7296903942842,12034
132,2014-09-06 09:00:00,10,29,morning,free flow,217,Sunny,Low,2014-09-06,0.017241379310344827,weekend,22.7296903942842,12034
133,2013-08-31 19:00:00,10,30.0,afternoon,free flow,534,Cloudy,Low,2013-08-31,0.01838235294117647,weekend,20.2680393912265,10402
134,2013-04-17 14:30:00,10,30.0,afternoon,free flow,534,Cloudy,Low,2013-04-17,0.020891364902506964,weekday,20.2680393912265,10402
135,2013-02-23 16:20:00,10,30.0,afternoon,free flow,534,Snow,Low,2013-02-23,0.020086083213773313,weekend,20.2680393912265,10402
136,2013-05-10 09:20:00,10,30.0,morning,free flow,534,Sunny,Low,2013-05-10,0.016411378555798686,weekday,20.2680393912265,10402
137,2013-05-19 04:45:00,10,30.0,morning,free flow,534,Cloudy,Low,2013-05-19,0.012941176470588235,weekend,20.2680393912265,10402
138,2013-12-10 17:26:00,10,30.0,afternoon,free flow,534,Cloudy,Low,2013-12-10,0.0315955766192733,weekday,20.2680393912265,10402
139,2014-02-09 07:00:00,10,30,morning,free flow,534,Cloudy,Low,2014-02-09,0.026234567901234566,weekend,20.2680393912265,10402
140,2014-04-19 09:30:00,10,30,morning,free flow,534,Sunny,Low,2014-04-19,0.013297872340425532,weekend,20.2680393912265,10402
141,2014-05-05 12:00:00,10,30,afternoon,free flow,534,Cloudy,Low,2014-05-05,0.014319809069212411,weekday,20.2680393912265,10402
142,2014-11-26 20:00:00,10,30,evening,free flow,534,Cloudy,Low,2014-11-26,0.013353115727002967,weekday,20.2680393912265,10402
143,2014-12-15 15:15:00,10,30,afternoon,free flow,534,Sunny,Low,2014-12-15,0.019337016574585635,weekday,20.2680393912265,10402
144,2013-02-13 20:25:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
145,2013-02-13 21:51:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
146,2013-02-13 21:15:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
147,2013-02-13 22:35:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
148,2013-02-13 22:17:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
149,2013-02-13 23:05:00,10,30.0,evening,medium,537,Cloudy,Low,2013-02-13,0.017482517482517484,weekday,19.226745085900017,10402
150,2013-04-11 11:35:00,10,30.0,morning,medium,537,Sunny,Low,2013-04-11,0.014833127317676144,weekday,19.226745085900017,10402
151,2013-05-07 13:00:00,10,30.0,afternoon,medium,537,Sunny,Low,2013-05-07,0.026490066225165563,weekday,19.226745085900017,10402
152,2013-06-06 21:05:00,10,30.0,evening,medium,537,Sunny,Low,2013-06-06,0.019791666666666666,weekday,19.226745085900017,10402
153,2013-06-06 21:30:00,10,30.0,evening,medium,537,Sunny,Low,2013-06-06,0.019791666666666666,weekday,19.226745085900017,10402
154,2013-06-06 21:15:00,10,30.0,evening,medium,537,Sunny,Low,2013-06-06,0.019791666666666666,weekday,19.226745085900017,10402
155,2013-09-02 13:30:00,10,30.0,afternoon,medium,537,Cloudy,Low,2013-09-02,0.025974025974025976,weekday,19.226745085900017,10402
